,relative_azimuth,sensor_azimuth,sensor_zenith,solar_azimuth,solar_zenith
vp_003,105.63454326600004,4.895456734,13.0376192,110.53,35.53
vp_004,105.64497326200001,4.885026738,10.21147919,110.53,35.53
vp_005,105.612238321,4.907761679,12.10944716,110.52,35.53
vp_006,105.68993492300001,4.830065077,9.422757401,110.52,35.53
vp_008,284.40380690000006,186.1161931,1.278385592,110.52,35.53
vp_009,285.49557290000007,185.0344271,10.77287283,110.53,35.52
vp_010,106.83581107999998,3.67418892,0.8974892,110.51,35.53
vp_011,102.853457403,7.656542597,4.64038132,110.51,35.54
vp_013,284.31316919999995,185.6468308,9.702341731,109.96,35.95
vp_014,284.20004059999997,185.7599594,6.265679437,109.96,35.95
vp_015,284.18665209999995,185.7733479,6.919426012,109.96,35.95
vp_016,283.99429710000004,185.9657029,3.08100071,109.96,35.95
vp_017,105.31034005499998,4.649659945,1.51911017,109.96,35.95
vp_018,282.7484910999999,187.2115089,0.380847553,109.96,35.95
vp_019,284.0716029,185.8783971,4.812834746,109.95,35.96
vp_020,285.84879809999995,183.7212019,19.06193596,109.57,36.25
vp_021,285.8719608,183.6980392,15.6032548,109.57,36.25
vp_022,285.9308681,183.6391319,11.09134045,109.57,36.25
vp_023,285.88925070000005,183.6907493,15.06175803,109.58,36.24
vp_024,285.86130589999993,183.7186941,18.62728516,109.58,36.24
vp_025,285.8479519,183.7020481,20.40381839,109.55,36.26
vp_027,285.92479979999996,183.6352002,10.80140541,109.56,36.26
vp_028,285.8950341,183.6549659,11.64184749,109.55,36.26
vp_029,285.87791229999993,183.6620877,12.74372679,109.54,36.27
vp_030,285.98368200000004,183.556318,6.348416784,109.54,36.27
vp_037,103.975371456,6.134628544,1.77588084,110.11,35.84
vp_038,285.22386529999994,184.8861347,3.58806069,110.11,35.84
vp_039,285.18356059999996,184.9264394,4.92760316,110.11,35.84
vp_040,284.9934931,185.1165069,8.96630104,110.11,35.84
vp_046,285.20482519999996,185.3651748,3.260825736,110.57,35.49
vp_047,284.8803437,185.1996563,16.46807512,110.08,35.86
vp_050,244.25230650000003,211.1476935,10.75709335,95.4,50.46
vp_051,241.50582609999992,213.9841739,2.661640868,95.49,50.35
vp_054,240.0855828,215.3944172,3.416438576,95.48,50.35
vp_062,245.91573640000001,209.4842636,3.382406569,95.4,50.46
vp_065,64.65056028999999,30.73943971,16.71927686,95.39,50.46
vp_071,64.79613655000003,30.60386345,12.15993162,95.4,50.45
vp_072,241.2671894,213.9428106,1.200441633,95.21,50.68
vp_073,60.05618943000002,35.46381057,15.73197219,95.52,50.31
vp_074,134.3740451,320.9859549,-0.0182389,95.36,50.5
vp_078,244.8019825,210.5680175,8.078680154,95.37,50.49
vp_080,244.93328989999998,210.4367101,16.93455634,95.37,50.49
vp_082,244.13705490000007,211.2329451,14.78519358,95.37,50.49
vp_085,240.2766663,214.9733337,12.2941356,95.25,50.63
vp_091,240.52126810000004,214.7187319,11.37219765,95.24,50.64
