Wavelength,vp73
451.996002,50.31
454.221985,50.31
456.447998,50.31
458.674011,50.31
460.899994,50.31
463.126007,50.31
465.35199,50.31
467.578003,50.31
469.803986,50.31
472.029999,50.31
474.256012,50.31
476.481995,50.31
478.708008,50.31
480.93399,50.31
483.160004,50.31
485.385986,50.31
487.612,50.31
489.838013,50.31
492.063995,50.31
494.290009,50.31
496.515991,50.31
498.742004,50.31
500.967987,50.31
503.194,50.31
505.420013,50.31
507.645996,50.31
509.872009,50.31
512.098022,50.31
514.323975,50.31
516.549988,50.31
518.776001,50.31
521.002014,50.31
523.228027,50.31
525.453979,50.31
527.679993,50.31
529.906006,50.31
532.132019,50.31
534.357971,50.31
536.583984,50.31
538.809998,50.31
541.036011,50.31
543.260986,50.31
545.487,50.31
547.713013,50.31
549.939026,50.31
552.164978,50.31
554.390991,50.31
556.617004,50.31
558.843018,50.31
561.06897,50.31
563.294983,50.31
565.520996,50.31
567.747009,50.31
569.973022,50.31
572.198975,50.31
574.424988,50.31
576.651001,50.31
578.877014,50.31
581.103027,50.31
583.328979,50.31
585.554993,50.31
587.781006,50.31
590.007019,50.31
592.232971,50.31
594.458984,50.31
596.684998,50.31
598.911011,50.31
601.137024,50.31
603.362976,50.31
605.588989,50.31
607.815002,50.31
610.041016,50.31
612.267029,50.31
614.492981,50.31
616.718994,50.31
618.945007,50.31
621.171021,50.31
623.396973,50.31
625.622986,50.31
627.848999,50.31
630.075012,50.31
632.301025,50.31
634.526978,50.31
636.752991,50.31
638.979004,50.31
641.205017,50.31
643.43103,50.31
645.656982,50.31
647.882996,50.31
650.109009,50.31
652.335022,50.31
654.560974,50.31
656.786987,50.31
659.013,50.31
661.239014,50.31
663.465027,50.31
665.690002,50.31
667.916016,50.31
670.142029,50.31
672.367981,50.31
674.593994,50.31
676.820007,50.31
679.046021,50.31
681.271973,50.31
683.497986,50.31
685.723999,50.31
687.950012,50.31
690.176025,50.31
692.401978,50.31
694.627991,50.31
696.854004,50.31
699.080017,50.31
701.30603,50.31
703.531982,50.31
705.757996,50.31
707.984009,50.31
710.210022,50.31
712.435974,50.31
714.661987,50.31
716.888,50.31
719.114014,50.31
721.340027,50.31
723.565979,50.31
725.791992,50.31
728.018005,50.31
730.244019,50.31
732.469971,50.31
734.695984,50.31
736.921997,50.31
739.14801,50.31
741.374023,50.31
743.599976,50.31
745.825989,50.31
748.052002,50.31
750.278015,50.31
752.504028,50.31
754.72998,50.31
756.955994,50.31
759.182007,50.31
761.40802,50.31
763.633972,50.31
765.859985,50.31
768.085999,50.31
770.312012,50.31
772.538025,50.31
774.763977,50.31
776.989014,50.31
779.216003,50.31
781.440979,50.31
783.666992,50.31
785.893005,50.31
788.119019,50.31
790.344971,50.31
792.570984,50.31
794.796997,50.31
797.02301,50.31
799.249023,50.31
801.474976,50.31
803.700989,50.31
805.927002,50.31
808.153015,50.31
810.379028,50.31
812.60498,50.31
814.830994,50.31
817.057007,50.31
819.28302,50.31
821.508972,50.31
823.734985,50.31
825.960999,50.31
828.187012,50.31
830.413025,50.31
832.638977,50.31
834.86499,50.31
837.091003,50.31
839.317017,50.31
841.54303,50.31
843.768982,50.31
845.994995,50.31
848.221008,50.31
850.447021,50.31
852.672974,50.31
854.898987,50.31
857.125,50.31
859.351013,50.31
861.577026,50.31
863.802979,50.31
866.028992,50.31
868.255005,50.31
870.481018,50.31
872.70697,50.31
874.932983,50.31
877.158997,50.31
879.38501,50.31
881.611023,50.31
883.836975,50.31
886.062988,50.31
888.288025,50.31
890.513977,50.31
892.73999,50.31
894.966003,50.31
897.192017,50.31
899.41803,50.31
957.5,48.6
967.072998,48.6
976.64502,48.6
986.218018,48.6
995.789978,48.6
1005.359985,48.6
1014.940002,48.6
1024.51001,48.6
1034.079956,48.6
1043.650024,48.6
1053.22998,48.6
1062.800049,48.6
1072.369995,48.6
1081.939941,48.6
1091.52002,48.6
1101.089966,48.6
1110.660034,48.6
1120.22998,48.6
1129.810059,48.6
1139.380005,48.6
1148.949951,48.6
1158.52002,48.6
1168.099976,48.6
1177.670044,48.6
1187.23999,48.6
1196.810059,48.6
1206.390015,48.6
1215.959961,48.6
1225.530029,48.6
1235.099976,48.6
1244.680054,48.6
1254.25,48.6
1263.819946,48.6
1273.390015,48.6
1282.969971,48.6
1292.540039,48.6
1302.109985,48.6
1311.680054,48.6
1321.26001,48.6
1330.829956,48.6
1436.119995,48.6
1445.699951,48.6
1455.27002,48.6
1464.839966,48.6
1474.410034,48.6
1483.98999,48.6
1493.560059,48.6
1503.130005,48.6
1512.699951,48.6
1522.280029,48.6
1531.849976,48.6
1541.420044,48.6
1550.98999,48.6
1560.569946,48.6
1570.140015,48.6
1579.709961,48.6
1589.280029,48.6
1598.859985,48.6
1608.430054,48.6
1618.0,48.6
1627.569946,48.6
1637.150024,48.6
1646.719971,48.6
1656.290039,48.6
1665.859985,48.6
1675.439941,48.6
1685.01001,48.6
1694.579956,48.6
1704.150024,48.6
1713.72998,48.6
1723.300049,48.6
1732.869995,48.6
1742.439941,48.6
1752.02002,48.6
1761.589966,48.6
1771.160034,48.6
1981.76001,48.6
1991.329956,48.6
2000.900024,48.6
2010.469971,48.6
2020.050049,48.6
2029.619995,48.6
2039.189941,48.6
2048.76001,48.6
2058.340088,48.6
2067.909912,48.6
2077.47998,48.6
2087.050049,48.6
2096.629883,48.6
2106.199951,48.6
2115.77002,48.6
2125.340088,48.6
2134.919922,48.6
2144.48999,48.6
2154.060059,48.6
2163.629883,48.6
2173.209961,48.6
2182.780029,48.6
2192.350098,48.6
2201.919922,48.6
2211.5,48.6
2221.070068,48.6
2230.639893,48.6
2240.209961,48.6
2249.790039,48.6
2259.360107,48.6
2268.929932,48.6
2278.5,48.6
2288.080078,48.6
2297.649902,48.6
2307.219971,48.6
2316.790039,48.6
